Epoch 0/2000, Loss: 0.312058
Epoch 100/2000, Loss: 0.257256
Epoch 200/2000, Loss: 0.019960
Epoch 300/2000, Loss: 0.006621
Epoch 400/2000, Loss: 0.003768
Epoch 500/2000, Loss: 0.002665
Epoch 600/2000, Loss: 0.002038
Epoch 700/2000, Loss: 0.001627
Epoch 800/2000, Loss: 0.001347
Epoch 900/2000, Loss: 0.001140
Epoch 1000/2000, Loss: 0.000984
Epoch 1100/2000, Loss: 0.000863
Epoch 1200/2000, Loss: 0.000772
Epoch 1300/2000, Loss: 0.000702
Epoch 1400/2000, Loss: 0.000642
Epoch 1500/2000, Loss: 0.000591
Epoch 1600/2000, Loss: 0.000547
Epoch 1700/2000, Loss: 0.000509
Epoch 1800/2000, Loss: 0.000475
Epoch 1900/2000, Loss: 0.000445
Epoch 1999/2000, Loss: 0.000419
